user_id,dish_id
1,34
1,12
1,13
1,67
1,68
1,71
2,11
4,29
4,68
6,36
6,56
6,13
6,34
6,12
7,8
7,37
7,57
10,12
10,13
10,67
10,68
11,46
18,31
19,8
19,10
19,38
20,41
20,29
20,30
20,64
21,60
22,34
22,12
22,13
22,67
22,68
22,32
22,76
23,6
23,11
23,36
23,39
23,41
23,46
24,39
24,40
24,41
24,42
25,10
25,65
25,9
25,30
25,35
25,43
25,57
27,34
27,12
27,13
27,67
27,68
27,71
28,34
28,12
28,13
28,67
28,68
28,71
29,6
29,7
29,10
29,66
29,11
30,59
30,31
30,61
30,60
34,8
34,10
34,38
39,13
39,67
39,68
39,71
43,8
43,10
43,38
